dataset,strategy,model_name,accuracy,base,final_acc,checkpoint,num_successes_seen,average_reward,perc_learnable,abs_improv,model_size,relative_improvement,train_score
kegg,easiest,Qwen3-4B,0.4315068493150685,0.3904109589041096,0.4315068493150685,1000,7892,0.9865,0.038,0.0410958904109589,4,0.06741573033707865,0.5
kegg,hardest,Qwen3-4B,0.3835616438356164,0.4246575342465753,0.4041095890410959,100,203,0.25375,0.11,-0.0410958904109589,4,-0.07142857142857141,0.5
kegg,hardest,Qwen3-4B,0.4041095890410959,0.4246575342465753,0.4041095890410959,200,384,0.24,0.11,-0.020547945205479423,4,-0.03571428571428566,0.5
kegg,hardest,Qwen3-4B,0.3835616438356164,0.4246575342465753,0.4041095890410959,300,575,0.23958333333333334,0.15333333333333332,-0.0410958904109589,4,-0.07142857142857141,0.5
kegg,hardest,Qwen3-4B,0.4589041095890411,0.4246575342465753,0.4041095890410959,400,848,0.265,0.1625,0.03424657534246578,4,0.05952380952380956,0.5
kegg,hardest,Qwen3-4B,0.4041095890410959,0.4246575342465753,0.4041095890410959,500,1105,0.27625,0.156,-0.020547945205479423,4,-0.03571428571428566,0.5
kegg,hardest,Qwen3-4B,0.3767123287671233,0.4246575342465753,0.4041095890410959,600,1353,0.281875,0.14833333333333334,-0.047945205479452024,4,-0.08333333333333327,0.5
kegg,hardest,Qwen3-4B,0.410958904109589,0.4246575342465753,0.4041095890410959,700,1654,0.2953571428571429,0.15285714285714286,-0.0136986301369863,4,-0.023809523809523805,0.5
kegg,hardest,Qwen3-4B,0.3972602739726027,0.4246575342465753,0.4041095890410959,800,1935,0.30234375,0.1525,-0.0273972602739726,4,-0.04761904761904761,0.5
kegg,hardest,Qwen3-4B,0.4178082191780822,0.4246575342465753,0.4041095890410959,900,2244,0.31166666666666665,0.15222222222222223,-0.0068493150684931225,4,-0.011904761904761854,0.5
kegg,hardest,Qwen3-4B,0.4041095890410959,0.4246575342465753,0.4041095890410959,1000,2524,0.3155,0.157,-0.020547945205479423,4,-0.03571428571428566,0.5
kegg,middle,Qwen3-4B,0.3972602739726027,0.42602739726027405,0.5205479452054794,100,539,0.67375,0.57,-0.028767123287671337,4,-0.050119331742243624,0.5
kegg,middle,Qwen3-4B,0.4041095890410959,0.42602739726027405,0.5205479452054794,200,1111,0.694375,0.52,-0.02191780821917816,4,-0.0381861575178999,0.5
kegg,middle,Qwen3-4B,0.4863013698630137,0.42602739726027405,0.5205479452054794,300,1738,0.7241666666666666,0.4533333333333333,0.060273972602739645,4,0.10501193317422422,0.5
kegg,middle,Qwen3-4B,0.4383561643835616,0.42602739726027405,0.5205479452054794,400,2390,0.746875,0.42,0.012328767123287565,4,0.021479713603818434,0.5
kegg,middle,Qwen3-4B,0.4726027397260274,0.42602739726027405,0.5205479452054794,500,3070,0.7675,0.386,0.046575342465753344,4,0.08114558472553686,0.5
kegg,middle,Qwen3-4B,0.4794520547945205,0.42602739726027405,0.5205479452054794,600,3743,0.7797916666666667,0.35333333333333333,0.05342465753424647,4,0.09307875894988049,0.5
kegg,middle,Qwen3-4B,0.4178082191780822,0.42602739726027405,0.5205479452054794,700,4446,0.7939285714285714,0.3271428571428571,-0.008219178082191858,4,-0.014319809069212546,0.5
kegg,middle,Qwen3-4B,0.4794520547945205,0.42602739726027405,0.5205479452054794,800,5134,0.8021875,0.30375,0.05342465753424647,4,0.09307875894988049,0.5
kegg,middle,Qwen3-4B,0.4863013698630137,0.42602739726027405,0.5205479452054794,900,5825,0.8090277777777778,0.29333333333333333,0.060273972602739645,4,0.10501193317422422,0.5
kegg,middle,Qwen3-4B,0.5205479452054794,0.42602739726027405,0.5205479452054794,1000,6544,0.818,0.274,0.09452054794520537,4,0.16467780429594256,0.5
kegg,random,Qwen3-4B,0.4246575342465753,0.4383561643835616,0.4452054794520548,100,437,0.54625,0.19,-0.0136986301369863,4,-0.024390243902439022,0.5
kegg,random,Qwen3-4B,0.4520547945205479,0.4383561643835616,0.4452054794520548,200,833,0.520625,0.195,0.0136986301369863,4,0.024390243902439022,0.5
kegg,random,Qwen3-4B,0.4520547945205479,0.4383561643835616,0.4452054794520548,300,1283,0.5345833333333333,0.19333333333333333,0.0136986301369863,4,0.024390243902439022,0.5
kegg,random,Qwen3-4B,0.4383561643835616,0.4383561643835616,0.4452054794520548,400,1754,0.548125,0.1875,0.0,4,0.0,0.5
kegg,random,Qwen3-4B,0.4520547945205479,0.4383561643835616,0.4452054794520548,500,2187,0.54675,0.192,0.0136986301369863,4,0.024390243902439022,0.5
